workflow_id,workflow_name,platform,source_system,target_system,trigger,business_purpose,owner,status,risk_level,reads_from,writes_to,database_user,connection_name,code_assets,runbook_file,last_tested_at,next_review_at,notes
zap_172,Zapier Webhooks by Zapier / zap_172,Zapier,Webhook,Zoho Mail; monitoring.automation_events,hook_v2,Send KETSO Academy upload approval email and provide heartbeat pilot,Eamonn,partially_audited,low,Webhook payload,Zoho Mail outbound; monitoring.automation_events,zapier_user,Zapier ptb_monitoring_test connection,docs/monitoring_zap172_heartbeat_plan.md; docs/sql/004_monitoring_zap172_heartbeat_template.sql,docs/monitoring_zap172_heartbeat_plan.md,2026-06-04,2026-06-30,Heartbeat plan writes only to ptb_monitoring_test when explicitly enabled.
zap_175,KETSO Academy Zoho CRM onboarding,Zapier,Zoho CRM,PostgreSQL; Zoho CRM; Zoho Mail,new_or_updated_module_entry,Create/update Academy onboarding data and send onboarding email,Eamonn,partially_audited,high,Zoho CRM contact; process_academy_student_from_crm,process_academy_student_from_crm; Zoho CRM fields; Zoho Mail outbound,zapier_user,Zapier defaultdb connection,docs/zapier_workflow_registry.csv,,2026-05-31,2026-06-30,13 errors in inspected history; high priority for runbook.
shopify_gift_tree_catalog,Shopify product Geef een boom cadeau,Shopify,Shopify,Zapier; Zoho Mail; PostgreSQL,product purchased,Product catalog signal for gift tree purchase requiring claim link and likely certificate,Eamonn,unknown,medium,Shopify product export,Unknown downstream until order audit,None,Shopify admin,docs/shopify_product_workflow_map.md,,2026-05-31,2026-06-30,Expected to relate to zap_47 but matching order evidence was not verified.
shopify_owned_tree_catalog,Shopify product Koop een boom voor jezelf,Shopify,Shopify,Zapier; PostgreSQL; Zoho Creator,product purchased,Product catalog signal for owned tree purchase allocation,Eamonn,unknown,medium,Shopify product export,Unknown downstream until order audit,None,Shopify admin,docs/shopify_product_workflow_map.md,,2026-05-31,2026-06-30,Expected to relate to zap_29 or zap_135 but matching order evidence was not verified.
shopify_subscription_catalog,Shopify subscription products,Shopify,Shopify,Chargebee; Zapier; PostgreSQL; Zoho Mail,product purchased,Product catalog signal for recurring subscription handling,Eamonn,unknown,medium,Shopify product export; Chargebee plan map,Unknown downstream until order/subscription audit,None,Shopify admin; Chargebee admin,docs/shopify_product_workflow_map.md; docs/chargebee_subscription_map.md,,2026-05-31,2026-06-30,Persoons-abonnement and Gezins-abonnement map loosely to Chargebee plans but order coverage is not complete.
chargebee_subscription_plans,Chargebee subscription plan coverage,Chargebee,Chargebee,Zapier; PostgreSQL; Zoho Mail,payment_succeeded / first_invoice_generated,Subscription plan signal for allocation welcome/thank-you email and follow-up,Eamonn,partially_audited,medium,Chargebee subscriptions; Chargebee invoices; Chargebee items,users1; trees1; Zoho Mail outbound,zapier_user,Zapier defaultdb connection,docs/chargebee_subscription_map.md; docs/chargebee_audit_gap_report.md,,2026-05-31,2026-06-30,Plan-level record covering exported Chargebee plans; exact item-price mapping still needs export.
zoho_form_to_creator_treecert,Zoho Form to Zoho Creator certificate records,Zoho Forms / Zoho Creator,Zoho Forms,Zoho Creator; PostgreSQL,new_form_entry,Create certificate/tree allocation records from form submissions,Eamonn,inferred_needs_verification,medium,Zoho Forms submissions; users1; trees1,Zoho Creator records; users1; trees1,zapier_user,Zapier defaultdb connection,docs/zapier_workflow_registry.csv,,2026-05-31,2026-06-30,Covered through zap_1 and zap_15; direct Zoho Flow/Creator automation inventory not found.
zoho_creator_writer_certificate_merge,Zoho Creator to Zoho Writer certificate merge,Zoho Creator / Zoho Writer,Zoho Creator,Zoho Writer; Zoho Mail,record created / certificate job ready,Generate certificate documents and prepare/send customer evidence,Eamonn,missing_source,high,Zoho Creator certificate/job records,Zoho Writer merge document; email attachment,unknown,Zoho Creator/Writer connection,docs/master_workflow_registry.csv,,2026-05-31,2026-06-30,No repo implementation or export found; Eamonn must confirm app names templates and trigger.
zoho_creator_mail_certificate_email,Zoho Creator / Zoho Mail certificate email,Zoho Creator / Zoho Mail,Zoho Creator,Zoho Mail,certificate ready,Send certificate or certificate-related customer email,Eamonn,missing_source,high,Zoho Creator certificate/job records,Zoho Mail outbound,unknown,Zoho Mail connection,docs/master_workflow_registry.csv; docs/zoho_mail_source_inventory.md,,2026-05-31,2026-06-30,Email evidence exists as Zoho Mail signal category but live Creator-to-Mail flow source is missing.
zoho_mail_outbox_evidence,Zoho Mail outbound evidence signals,Zoho Mail,Zoho Mail,Monitoring dashboard,manual export / future API,Provide evidence for sent tree allocation onboarding subscription and certificate emails,Eamonn,partially_audited,low,Zoho Mail outbox samples,monitoring.outbound_messages future import,None,Zoho Mail API or manual export,docs/zoho_mail_source_inventory.md; docs/zoho_mail_dashboard_signal_candidates.md,,2026-05-31,2026-06-30,Exact live folders and API/export access need confirmation.
zoho_flow_cross_zoho_apps,Zoho Flow cross-Zoho automations,Zoho Flow,Zoho apps,Zoho apps,event-based Zoho Flow trigger,Catch unregistered Zoho-to-Zoho automations that bypass Zapier,Eamonn,missing_source,high,Unknown Zoho Flow sources,Unknown Zoho targets,unknown,Zoho Flow connections,docs/workflow_source_inventory.md,,2026-06-06,2026-06-30,No Zoho Flow export found in repo; must be manually exported or reviewed in Zoho Flow UI.
render_tree_map_api,Render API / dashboard endpoints,Render,HTTP clients; Cloudflare Pages; Netlify functions,PostgreSQL,HTTP API request,Serve tree map forest hero academy upload review and moderation APIs,Eamonn,partially_audited,medium,DATABASE_URL; PG_URL; public tables; review tables,photo_uploads_review; academy_point_events,web_ro / web_rw,DATABASE_URL; PG_URL,server.js; api/db.js; api/trees.js; api/savePhotoReview.js; api/getPhotoReviewGallery.js; api/getStudentGallery.js,docs/automation_inventory.md,2026-05-31,2026-06-30,Repository inventory found no Shopify/Chargebee writers in Render code.
netlify_monitoring_summary,Netlify monitoring summary function,Netlify,Monitoring dashboard,PostgreSQL / Aiven,GET /.netlify/functions/monitoring-summary,Read live monitoring counts from monitoring schema,Eamonn,implemented,medium,monitoring.automation_events; monitoring.outbound_messages; monitoring.automation_registry,None,web_ro,MONITORING_DATABASE_URL,netlify/functions/monitoring-summary.js,,2026-06-04,2026-06-30,Guard checks ptb_monitoring_test in function code.
netlify_monitoring_events,Netlify monitoring events function,Netlify,Monitoring dashboard,PostgreSQL / Aiven,GET /.netlify/functions/monitoring-events,Read live automation events for dashboard,Eamonn,implemented,medium,monitoring.automation_events,None,web_ro,MONITORING_DATABASE_URL,netlify/functions/monitoring-events.js,,2026-06-04,2026-06-30,Read-only dashboard endpoint; no secrets in repo.
netlify_monitoring_outbound,Netlify monitoring outbound messages function,Netlify,Monitoring dashboard,PostgreSQL / Aiven,GET /.netlify/functions/monitoring-outbound-messages,Read outbound message evidence for dashboard,Eamonn,implemented,medium,monitoring.outbound_messages,None,web_ro,MONITORING_DATABASE_URL,netlify/functions/monitoring-outbound-messages.js,,2026-06-04,2026-06-30,Read-only dashboard endpoint; no secrets in repo.
netlify_monitoring_registry,Netlify monitoring registry function,Netlify,Monitoring dashboard,PostgreSQL / Aiven,GET /.netlify/functions/monitoring-registry,Read automation registry rows for dashboard,Eamonn,implemented,medium,monitoring.automation_registry,None,web_ro,MONITORING_DATABASE_URL,netlify/functions/monitoring-registry.js,,2026-06-04,2026-06-30,Registry is live monitoring source but maintenance registry is currently documentation only.
github_monitoring_docs,GitHub-code monitoring docs and SQL assets,GitHub,Repository maintainers,Dashboard/API/SQL docs,file change / review,Maintain source-controlled monitoring docs SQL templates and implementation references,Eamonn,implemented,low,docs/*.md; docs/*.csv; docs/sql/*.sql,Git repository only,None,GitHub,docs/master_workflow_registry.csv; docs/sql/001_monitoring_datamodel.sql; docs/sql/002_monitoring_registry_seed.sql,,2026-06-06,2026-06-30,No commit or push performed for this inventory.
